date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:32	263328/263328	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-404a0%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/supertrend/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/supertrend/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:32	32866/32866	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226734ace9-8062%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/zigzag/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/zigzag/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:33	168664/168664	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-292d8%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/alpaca/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/alpaca/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:33	93784/93784	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-16e58%22	https://vectorbt.pro/pvt_1606a55a/api/portfolio/nb/iter_/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/portfolio/nb/iter_/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:33	86950/86950	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-153a6%22	https://vectorbt.pro/pvt_1606a55a/api/generic/nb/iter_/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/generic/nb/iter_/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:33	247473/247473	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-3c6b1%22	https://vectorbt.pro/pvt_1606a55a/api/generic/nb/rolling/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/generic/nb/rolling/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:33	23708/23708	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226734ace9-5c9c%22	https://vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/pandas.light.svg	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/pandas.light.svg	(from https://vectorbt.pro/pvt_1606a55a/tutorials/superfast-supertrend/)
18:56:34	143998/143998	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-2327e%22	https://vectorbt.pro/pvt_1606a55a/api/generic/nb/records/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/generic/nb/records/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:34	23583/23583	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226734ace9-5c1f%22	https://vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/pandas.dark.svg	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/pandas.dark.svg	(from https://vectorbt.pro/pvt_1606a55a/tutorials/superfast-supertrend/)
18:56:34	225869/225869	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-3724d%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/patsim/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/patsim/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:34	170486/170486	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-299f6%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/binance/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/binance/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:35	227347/227347	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-37813%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/vwap/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/vwap/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:35	23758/23758	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226734ace9-5cce%22	https://vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/indicator.light.svg	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/indicator.light.svg	(from https://vectorbt.pro/pvt_1606a55a/tutorials/superfast-supertrend/)
18:56:35	174075/174075	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-2a7fb%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/rsi/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/rsi/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:36	23633/23633	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226734ace9-5c51%22	https://vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/indicator.dark.svg	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/indicator.dark.svg	(from https://vectorbt.pro/pvt_1606a55a/tutorials/superfast-supertrend/)
18:56:36	255630/255630	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-3e68e%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/stoch/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/stoch/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:36	218957/218957	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-3574d%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/macd/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/macd/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:36	32866/32866	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226734ace9-8062%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/olss/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/olss/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:37	279179/279179	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-4428b%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/ols/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/ols/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:37	22423/22423	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226734ace9-5797%22	https://vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/optimization.light.svg	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/optimization.light.svg	(from https://vectorbt.pro/pvt_1606a55a/tutorials/superfast-supertrend/)
18:56:37	97188/97188	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-17ba4%22	https://vectorbt.pro/pvt_1606a55a/api/base/resampling/nb/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/base/resampling/nb/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:37	247913/247913	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-3c869%22	https://vectorbt.pro/pvt_1606a55a/api/generic/nb/apply_reduce/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/generic/nb/apply_reduce/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2022/)
18:56:37	22301/22301	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226734ace9-571d%22	https://vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/optimization.dark.svg	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/images/tutorials/supertrend/optimization.dark.svg	(from https://vectorbt.pro/pvt_1606a55a/tutorials/superfast-supertrend/)
